title,min_val,max_val,currency,link,site,employer,city
"Водитель-экспедитор категории В, ВС (м Озерная)",80000,170000,руб.,https://hh.ru/vacancy/49111311?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Консул Медиа,"Москва, Озёрная"
Водитель-экспедитор,50000,,руб.,https://hh.ru/vacancy/49489316?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Мир открыток,Москва
Курьер-водитель на автомобиле компании в Озон(Химки),,120000,руб.,https://hh.ru/vacancy/48771692?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Ozon Логистика ,"Москва, Ховрино"
Водитель на личном автомобиле в OZON,80000,120000,руб.,https://hh.ru/vacancy/49909545?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,LogFix,"Москва, Каширская и еще 1 "
Водитель манипулятора,90000,170000,руб.,https://hh.ru/vacancy/49908754?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО МСТ,Москва
Водитель-курьер на автомобиль компании (Юг или Восток Москвы),120000,170000,руб.,https://hh.ru/vacancy/49809641?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО СТРИТ ЛОГИСТИК,"Москва, Алма-Атинская"
Личный Водитель на Мерседес-Бенц Е-класс/Персональный водитель,85000,200000,руб.,https://hh.ru/vacancy/49807004?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ATOM LINE (ИП Ромов Владимир Анатольевич),Москва
Водитель-курьер ЗАО,108000,,руб.,https://hh.ru/vacancy/49102935?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Logsis,Москва
Водитель-курьер на автомобиль компании (ЗАО Москвы),120000,170000,руб.,https://hh.ru/vacancy/49809699?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО СТРИТ ЛОГИСТИК,Москва
"Водитель-курьер, СЗАО",108000,,руб.,https://hh.ru/vacancy/49103059?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Logsis,Москва
Водитель в бизнес такси (сервис личных водителей Wheely),60000,160000,руб.,https://hh.ru/vacancy/49933337?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ATOM LINE (ИП Ромов Владимир Анатольевич),Москва
Водитель-экспедитор,60000,90000,руб.,https://hh.ru/vacancy/49808438?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Вектор,Москва
Водитель со своим автомобилем,110000,170000,руб.,https://hh.ru/vacancy/49809570?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО СТРИТ ЛОГИСТИК,Москва
Водитель-курьер с личным автомобилем,80000,120000,руб.,https://hh.ru/vacancy/46184414?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ДоставкаГУРУ,Москва
Водитель-курьер с личным автомобилем,60000,,руб.,https://hh.ru/vacancy/49871549?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Служба доставки Контакт,"Москва, Бауманская и еще 2 "
Водитель-оператор автобетононасоса,150000,,руб.,https://hh.ru/vacancy/49940054?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО МосСтройТехника,Москва
Водитель с личным грузовым автомобилем,130000,,руб.,https://hh.ru/vacancy/45642004?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ДоставкаГУРУ,Москва
Водитель с личным автомобилем (Север Москвы),70000,,руб.,https://hh.ru/vacancy/49552558?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ДоставкаГУРУ,Москва
Водитель в штат,85000,135000,руб.,https://hh.ru/vacancy/49585001?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,G.M. ВОДИТЕЛЬ,"Москва, Курская и еще 3 "
Водитель-курьер ЦАО,108000,,руб.,https://hh.ru/vacancy/49103014?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Logsis,Москва
Водитель-курьер на личном автомобиле(Химки),,120000,руб.,https://hh.ru/vacancy/49219064?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Ozon Логистика ,Москва
Водитель-экспедитор на автомобиль компании,90000,110000,руб.,https://hh.ru/vacancy/46092126?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ДАМТРАНС,Москва
Водитель-экспедитор,95000,125000,руб.,https://hh.ru/vacancy/43401582?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ДАМТРАНС,Москва
"Водитель-экспедитор на автомобиль компании (Ситроен Джампер, Ford Connect, Ford Transit)",85000,120000,руб.,https://hh.ru/vacancy/49778270?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Курьерская служба GRASTIN,"Москва, Кожуховская"
Водитель-экспедитор на личном автомобиле,65000,90000,руб.,https://hh.ru/vacancy/47465893?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Фокс-Экспресс,"Москва, Нагатинская"
Водитель на личном грузовом автомобиле,115000,,руб.,https://hh.ru/vacancy/49762818?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,СДЭК,Москва
Водитель-курьер,,,,https://hh.ru/vacancy/49665906?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Центр Найма Водителей,Москва
Водитель-экспедитор,60000,,руб.,https://hh.ru/vacancy/49778725?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Фри Тайм,Москва
Водитель,90000,120000,руб.,https://hh.ru/vacancy/49918588?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Никс,"Москва, Алексеевская"
Водитель,180000,,руб.,https://hh.ru/vacancy/49878615?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Eden Springs,"Москва, Волгоградский проспект"
Водитель микроавтобуса,77000,,руб.,https://hh.ru/vacancy/49923908?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ГКУ города Москвы Центр занятости населения города Москвы,Москва
Водитель со своим грузовым автомобилем,100000,380000,руб.,https://hh.ru/vacancy/49368812?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Дженерал,Москва
Водитель с личным грузовым автомобилем 1-5 тонны,200000,350000,руб.,https://hh.ru/vacancy/44187972?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ДАМТРАНС,"Москва, Кутузовская"
Водитель на собственном автомобиле,100000,150000,руб.,https://hh.ru/vacancy/49836656?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО СИРИУС,Москва
"Водитель-экспедитор на личном грузовом автомобиле от 1,5 тонн",160000,240000,руб.,https://hh.ru/vacancy/49700636?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Газзачас,"Москва, Печатники"
Водитель-экспедитор на личном автомобиле,200000,250000,руб.,https://hh.ru/vacancy/49417909?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО РегионАвтоТранс,Москва
Водитель (категория В),60000,85000,руб.,https://hh.ru/vacancy/49287087?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО С-Ворк,Москва
Водитель категории С,90000,110000,руб.,https://hh.ru/vacancy/49620763?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ИП Донцова Ольга Николаевна,Москва
Водитель - курьер на машине,130000,,руб.,https://hh.ru/vacancy/49551891?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Проект А,"Москва, Балтийская и еще 2 "
Водитель-экспедитор (ЮАО),130000,,руб.,https://hh.ru/vacancy/49551748?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Проект А,"Москва, Каховская и еще 2 "
Водитель-экспедитор,85000,95000,руб.,https://hh.ru/vacancy/49879258?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Центр Управления Ресурсами,"Москва, Тульская"
"Водитель-Экспедитор категории"" B""",75000,100000,руб.,https://hh.ru/vacancy/49268245?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО БТ-СТОК,Москва
Водитель-экспедитор в Бутово,110000,120000,руб.,https://hh.ru/vacancy/49774439?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Комфорт-аква,"Москва, Бульвар Адмирала Ушакова и еще 2 "
Водитель с личным автомобилем (грузовым),80000,350000,руб.,https://hh.ru/vacancy/49693008?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ТрафиКо,"Москва, Бауманская и еще 1 "
Водитель-курьер на личном автомобиле,100000,,руб.,https://hh.ru/vacancy/49883479?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Стор77,Москва
Водитель-курьер на своём автомобиле,100000,120000,руб.,https://hh.ru/vacancy/49097721?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Петрова Юлия Сергеевна,Москва
Водитель с личным грузовым автомобилем,140000,240000,руб.,https://hh.ru/vacancy/49399283?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ГлавСпецДоставка,Москва
"Водитель-экспедитор категории ""В"" на автомобиль компании (Солнцево)",90000,95000,руб.,https://hh.ru/vacancy/49439257?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Работа в Западном Округе,"Москва, Солнцево"
Водитель-курьер,,140000,руб.,https://hh.ru/vacancy/48111272?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Медиатор,Москва
Водитель категории Е,140000,152000,руб.,https://hh.ru/vacancy/49453160?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Курьер,Москва
Водитель-курьер на автомобиле компании,110000,,руб.,https://hh.ru/vacancy/49935145?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Департамент персонала,Москва
Водитель семейный,,70000,руб.,https://hh.ru/vacancy/49492751?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,НИИС,"Москва, Тверская"
Водитель выходного дня,120000,,руб.,https://hh.ru/vacancy/49738433?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Волга 24,"Москва, Пражская"
Водитель-экспедитор категории В,70000,100000,руб.,https://hh.ru/vacancy/49843700?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Эридан,Москва
Водитель - Курьер на автомобиль компании (ЮАО/ВАО),120000,170000,руб.,https://hh.ru/vacancy/49809667?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО СТРИТ ЛОГИСТИК,"Москва, Алма-Атинская"
Персональный водитель со своим автомобилем,70000,,руб.,https://hh.ru/vacancy/49910324?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ХЛЕБ СОЛЬ,Москва
