title,min_val,max_val,currency,link,site,employer,city,uniq_key
Врач-терапевт участковый (Светловской ВА),22155,27000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-uchastkovyj-38199979.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38199979superjob.ru
Врач-кардиолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-kardiolog-38201513.html,superjob.ru,Министерство здравоохранения Республики Крым,Севастополь,38201513superjob.ru
Врач-хирург,23844,29000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-hirurg-38201335.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38201335superjob.ru
Врач-оториноларинголог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-otorinolaringolog-38201387.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38201387superjob.ru
Врач-пульмонолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-pulmonolog-38201062.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38201062superjob.ru
Врач-инфекционист (стационар),22155,27000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-infekcionist-38201037.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38201037superjob.ru
Врач-невролог стационара,22155,27000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-nevrolog-stacionara-38200999.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200999superjob.ru
Врач-невролог поликлиники,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-nevrolog-polikliniki-38200977.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200977superjob.ru
Врач-методист,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-metodist-38200941.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200941superjob.ru
Врач-статистик,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-statistik-38200916.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200916superjob.ru
Врач-неонатолог,22155,27000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-neonatolog-38200887.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200887superjob.ru
Врач акушер-гинеколог (стационар),23844,29000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-akusher-ginekolog-38200825.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200825superjob.ru
Врач ультразвуковой диагностики,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-ultrazvukovoj-diagnostiki-38200481.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200481superjob.ru
Врач по лечебной физкультуре,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-po-lechebnoj-fizkulture-38200679.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200679superjob.ru
Врач анестезиолог-реаниматолог,23844,29000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-anesteziolog-reanimatolog-38222121.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38222121superjob.ru
Врач-рентгенолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-rentgenolog-38200498.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200498superjob.ru
"Заведующий физиотерапевтическим отделением, врач-физиотерапевт",,,,https://sevastopol.superjob.ru/vakansii/zaveduyuschij-fizioterapevticheskim-otdeleniem-38200599.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200599superjob.ru
Врач-диетолог,,,,https://sevastopol.superjob.ru/vakansii/vrach-dietolog-38221916.html,superjob.ru,Министерство здравоохранения Республики Крым,Севастополь,38221916superjob.ru
Врач-педиатр,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-pediatr-38221180.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38221180superjob.ru
Врач-офтальмолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-oftalmolog-38221272.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38221272superjob.ru
Врач травматолог-ортопед (стационар),23844,29000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-travmatolog-ortoped-38221037.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38221037superjob.ru
Врач-патологоанатом,23844,29000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-patologoanatom-38222149.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38222149superjob.ru
Врач-онколог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-onkolog-38220820.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38220820superjob.ru
Врач-гастроэнтеролог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-gastroenterolog-38220913.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38220913superjob.ru
Врач-эндокринолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-endokrinolog-38222571.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38222571superjob.ru
Врач-эпидемиолог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-epidemiolog-38222047.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38222047superjob.ru
Врач-педиатр участковый,22155,27000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-pediatr-uchastkovyj-38221372.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38221372superjob.ru
Врач-нефролог,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-nefrolog-38221459.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38221459superjob.ru
